"","1","2","3","4"
"一手包辦",0.000108313024641213,0,0,0
"一抬眼",0.000108313024641213,0,0,0
"一抬頭",0.000324939073923639,0,0,0
"一抹",5.41565123206066e-05,0,0,0.000124929727028546
"一掠",0.000216626049282426,0,0,0
"一揚",0.000108313024641213,0,0,0
"一撇",0.000216626049282426,0,0,0
"一撮",0.000108313024641213,0,0,0
"一擠",0.000108313024641213,0,0,0
"一支",0.00016246953696182,0,0,0.000249859454057093
"一方",0.000216626049282426,6.43956468542727e-05,0,0
"一旦",0.000216626049282426,0,0,0
"一暗",0.000108313024641213,0,0,0
"一曲",0.000108313024641213,0,0,0
"一望",0.000108313024641213,0,0,0
"一朵",6.74309503296253e-05,0,2.5512509176226e-05,5.18505214915165e-05
"一杯",0.000216626049282426,0,0,0
"一柄",0.000108313024641213,0,0,0
"一桌",0.00016246953696182,6.43956468542727e-05,0,0
"一棵",4.49539668864169e-05,2.67266082348409e-05,2.5512509176226e-05,0
"一樁",0.000108313024641213,0,0,0
"一歇",0.000324939073923639,0,0,0
"一正",0.000216626049282426,0,0,0
"一步步",0.000108313024641213,0,0,0
"一歪身",5.41565123206066e-05,6.43956468542727e-05,0,0
"一比",0.000216626049282426,0,0,0
"一氣",5.41565123206066e-05,0,0,6.24648635142732e-05
"一汪",0.000216626049282426,0,0,0
"一流",0.000108313024641213,0,0,0
"一溜",5.41565123206066e-05,0,6.14703712810425e-05,0
"一溜煙",0.00016246953696182,0,6.14703712810425e-05,0
"一爐",0.000108313024641213,0,0,0
"一牆",0.000108313024641213,0,0,0
"一片苦心",0.000108313024641213,0,0,0
"一牽一",0.000108313024641213,0,0,0
"一皺",0.000108313024641213,0,0,0
"一盆",4.49539668864169e-05,2.67266082348409e-05,0,7.77757822372747e-05
"一盞",0.000108313024641213,0,0,6.24648635142732e-05
"一看",0.000112384917216042,0,5.10250183524519e-05,7.77757822372747e-05
"一瞧",0.000216626049282426,0,0,0
"一粒",2.24769834432084e-05,0,2.5512509176226e-05,2.59252607457582e-05
"一絲",0.000108313024641213,0,0,0
"一網打盡",0.000108313024641213,0,0,0
"一聳",0.00016246953696182,0,6.14703712810425e-05,0
"一肚子火",0.000108313024641213,0,0,0
"一臉",2.24769834432084e-05,0,2.5512509176226e-05,7.77757822372747e-05
"一舉",0.000108313024641213,0,0,0
"一色",0.000216626049282426,0,0,0
"一行",5.41565123206066e-05,0,0,6.24648635142732e-05
"一見",0.00016246953696182,0,0,0.000124929727028546
"一說",0.000108313024641213,0,0,0
"一變",5.41565123206066e-05,6.43956468542727e-05,0,0
"一跑",5.41565123206066e-05,0,0,6.24648635142732e-05
"一路上",2.24769834432084e-05,2.67266082348409e-05,0,2.59252607457582e-05
"一軟",5.41565123206066e-05,6.43956468542727e-05,0,0
"一輩",0.000108313024641213,0,0,0
"一轉",0.000108313024641213,0,0,0
"一遍",4.49539668864169e-05,2.67266082348409e-05,7.65375275286778e-05,0
"一過",0.000108313024641213,0,0,0
"一道",0.000108313024641213,0,0,0
"一遞",5.41565123206066e-05,6.43956468542727e-05,0,0
"一部分",0.000108313024641213,0,6.14703712810425e-05,0
"一門",0.000108313024641213,6.43956468542727e-05,0,0
"一閃",0.000216626049282426,6.43956468542727e-05,0,0
"一陣一陣",0.000108313024641213,0,0,0
"一震",2.24769834432084e-05,2.67266082348409e-05,2.5512509176226e-05,0
"一霎時",0.000108313024641213,0,0,0
"一露",0.000216626049282426,0,0,0
"一頂",5.41565123206066e-05,0,6.14703712810425e-05,0
"一頓",6.74309503296253e-05,0,2.5512509176226e-05,5.18505214915165e-05
"一頓飯",0.000108313024641213,0,6.14703712810425e-05,0
"一鳴驚人",0.000108313024641213,0,0,0
"一點兒",4.49539668864169e-05,0,7.65375275286778e-05,2.59252607457582e-05
"一齊",0.000108313024641213,0,0,0
"丁香",0.000108313024641213,0,0,0
"丁香花",0.000108313024641213,0,0,0
"七",2.24769834432084e-05,0.000213812865878727,0.00191343818821695,0
"七上八下",5.41565123206066e-05,6.43956468542727e-05,0,0
"七八個",0.000433252098564852,0,0,0
"七八分",0.000216626049282426,0,0,0
"七八只",0.000108313024641213,0,0,0
"七八年",2.24769834432084e-05,0.000106906432939363,2.5512509176226e-05,0
"七八種",0.000108313024641213,0,0,0
"七八點",0.000216626049282426,0,0,0
"三",2.24769834432084e-05,0.000534532164696817,0.000561275201876971,0
"三分",6.74309503296253e-05,0.000133633041174204,2.5512509176226e-05,0
"三十夜",0.000108313024641213,0,0,0
"三四丈",0.000108313024641213,0,0,0
"三四十歲",0.000108313024641213,0,0,0
"三宮",0.000108313024641213,0,0,0
"三年",2.24769834432084e-05,0,2.5512509176226e-05,5.18505214915165e-05
"三腳",0.000108313024641213,0,0,0
"三言兩語",5.41565123206066e-05,0,0,6.24648635142732e-05
"三間房",0.000108313024641213,0,0,0
"上上下下",5.41565123206066e-05,0,0.000122940742562085,0
"上前",0.00016246953696182,0,0.000122940742562085,0
"上午",0.000108313024641213,0.000128791293708545,0,0
"上學",0.000108313024641213,0,0,6.24648635142732e-05
"上層",0.000108313024641213,0,0,0
"上山",0.000216626049282426,0,0,0
"上床",2.24769834432084e-05,2.67266082348409e-05,0,2.59252607457582e-05
"上數",0.000108313024641213,0,0,0
"上火",0.000108313024641213,0,0,0
"上生",0.000108313024641213,0,0,0
"上用",0.000216626049282426,0,0,0
"上船",5.41565123206066e-05,0.000193186940562818,0,0
"上街",5.41565123206066e-05,0,0.000122940742562085,0
"上過",0.000108313024641213,0,0,0
"上道",0.000216626049282426,0,0,0
"上鉤",0.000108313024641213,0,0,0
"上門",8.99079337728337e-05,5.34532164696817e-05,5.10250183524519e-05,0
"上門來",4.49539668864169e-05,2.67266082348409e-05,5.10250183524519e-05,0
"上門去",0.000216626049282426,0,0,0
"上階",0.000108313024641213,0,0,0
"下下",5.41565123206066e-05,6.43956468542727e-05,0,0
"下不來",0.000216626049282426,0,0,0
"下午茶",0.000216626049282426,0,0,0
"下唇",0.000108313024641213,0,0,0
"下山",0.000216626049282426,0,0,0
"下巴頦兒",0.000216626049282426,0,0,0
"下意識",5.41565123206066e-05,0,0,6.24648635142732e-05
"下樓",0.000108313024641213,0.000128791293708545,0,0
"下樓來",2.24769834432084e-05,5.34532164696817e-05,7.65375275286778e-05,0
"下次",5.41565123206066e-05,0,0,6.24648635142732e-05
"下級",0.000108313024641213,0,0,0
"下腰",2.24769834432084e-05,2.67266082348409e-05,2.5512509176226e-05,0
"下賤",4.49539668864169e-05,2.67266082348409e-05,0,5.18505214915165e-05
"下起",5.41565123206066e-05,0,0,6.24648635142732e-05
"下過",0.000216626049282426,0,0,0
"下鄉",5.41565123206066e-05,0,0,6.24648635142732e-05
"下面",2.24769834432084e-05,0,0.000102050036704904,2.59252607457582e-05
"不中用",5.41565123206066e-05,0,0,6.24648635142732e-05
"不乏",0.000108313024641213,0,0,0
"不亂",0.000108313024641213,0,0,0
"不但",0.00016246953696182,6.43956468542727e-05,0,0
"不來",6.74309503296253e-05,0,5.10250183524519e-05,5.18505214915165e-05
"不依",0.000216626049282426,0,6.14703712810425e-05,0
"不修邊幅",0.000108313024641213,0,0,0
"不倫不類",0.000108313024641213,0,0,0
"不偏不倚",0.000108313024641213,0,0,0
"不再",4.49539668864169e-05,2.67266082348409e-05,2.5512509176226e-05,0
"不准",6.74309503296253e-05,2.67266082348409e-05,2.5512509176226e-05,0
"不動",6.74309503296253e-05,2.67266082348409e-05,0,2.59252607457582e-05
"不去",5.41565123206066e-05,0,0.00024588148512417,0
"不去理",0.000108313024641213,0,0,0
"不及",5.41565123206066e-05,6.43956468542727e-05,0,0
"不受",0.000108313024641213,0,0,0
"不可理喻",0.00016246953696182,6.43956468542727e-05,0,0
"不單是",0.000108313024641213,0,0,0
"不大好",5.41565123206066e-05,0,0,6.24648635142732e-05
"不好",6.74309503296253e-05,0,0.000204100073409808,7.77757822372747e-05
"不好惹",0.000108313024641213,0,0,6.24648635142732e-05
"不妙",0.000108313024641213,0,0,0
"不安分",0.000108313024641213,0,0,0
"不定",5.41565123206066e-05,0,0,0.00018739459054282
"不宜",5.41565123206066e-05,0,0,6.24648635142732e-05
"不容",5.41565123206066e-05,0,6.14703712810425e-05,0
"不小",6.74309503296253e-05,2.67266082348409e-05,2.5512509176226e-05,0
"不屑",0.000108313024641213,0,0,0
"不巧",6.74309503296253e-05,2.67266082348409e-05,2.5512509176226e-05,0
"不帶",0.000108313024641213,0,0,0
"不常",0.000216626049282426,0,0,0
"不干",0.000108313024641213,0,0,0
"不得不",0.000216626049282426,0,0,0
"不得已",5.41565123206066e-05,0,6.14703712810425e-05,0
"不得而知",0.000108313024641213,0,0,0
"不必",4.49539668864169e-05,2.67266082348409e-05,0,5.18505214915165e-05
"不忍",5.41565123206066e-05,6.43956468542727e-05,0,0
"不急",0.000108313024641213,0,0,0
"不愛",0.000108313024641213,0,0,0
"不愛你",0.000108313024641213,0,0,0
"不愛管",0.000216626049282426,0,0,0
"不慣",2.24769834432084e-05,0,2.5512509176226e-05,2.59252607457582e-05
"不成材",4.49539668864169e-05,5.34532164696817e-05,0,2.59252607457582e-05
"不成話",0.000216626049282426,0,0,0
"不成體統",0.000108313024641213,0,0,0
"不打緊",0.000108313024641213,0,0.000122940742562085,0
"不料",0.000108313024641213,6.43956468542727e-05,0,0
"不斷",4.49539668864169e-05,2.67266082348409e-05,2.5512509176226e-05,0
"不施",0.000108313024641213,0,0,0
"不早了",0.000108313024641213,0,0,0
"不明",0.000108313024641213,0,0,0
"不曾",5.41565123206066e-05,0,0,0.000124929727028546
"不服氣",0.000108313024641213,0,0,0
"不正",0.000108313024641213,0,0,0
"不氣",0.000108313024641213,0,0,0
"不消",0.000108313024641213,0,0,0
"不淨的",0.000108313024641213,0,0,0
"不濟",2.24769834432084e-05,2.67266082348409e-05,2.5512509176226e-05,0
"不濟事",0.000108313024641213,0,0,0
"不犯",2.24769834432084e-05,2.67266082348409e-05,2.5512509176226e-05,0
"不理",2.24769834432084e-05,2.67266082348409e-05,2.5512509176226e-05,0
"不由",0.000108313024641213,6.43956468542727e-05,0,0
"不由自主",5.41565123206066e-05,6.43956468542727e-05,0,0
"不知去向",0.000108313024641213,6.43956468542727e-05,0,0
"不知輕重",0.000108313024641213,0,0,0
"不礙",0.000108313024641213,0,0,0
"不端",0.000108313024641213,0,0,0
"不答",0.000108313024641213,6.43956468542727e-05,0,0
"不算",2.24769834432084e-05,5.34532164696817e-05,2.5512509176226e-05,0
"不約而同",5.41565123206066e-05,0,6.14703712810425e-05,0
"不給",0.000108313024641213,0,0,0
"不聞不問",5.41565123206066e-05,6.43956468542727e-05,0,0
"不脫",0.000108313024641213,0,0,0
"不致于",0.000108313024641213,0,0,0
"不舍",0.000108313024641213,0,0,0
"不落",0.000108313024641213,0,0,0
"不著",4.49539668864169e-05,0.000106906432939363,0,2.59252607457582e-05
"不要緊",6.74309503296253e-05,5.34532164696817e-05,0,2.59252607457582e-05
"不見",4.49539668864169e-05,0.000106906432939363,5.10250183524519e-05,0
"不見得",0.000112384917216042,5.34532164696817e-05,0.000102050036704904,0
"不許",4.49539668864169e-05,0,2.5512509176226e-05,2.59252607457582e-05
"不該",5.41565123206066e-05,0.000128791293708545,0,0
"不語",5.41565123206066e-05,6.43956468542727e-05,0,0
"不論是",0.000216626049282426,0,0,0
"不通",5.41565123206066e-05,6.43956468542727e-05,0,0
"不願",0.000433252098564852,0,0,0
"不顧",2.24769834432084e-05,0,2.5512509176226e-05,2.59252607457582e-05
"且",8.99079337728337e-05,5.34532164696817e-05,2.5512509176226e-05,0
"世上",5.41565123206066e-05,0.000128791293708545,0,0
"世紀",0.000433252098564852,0,0,0
"丘壑",0.000108313024641213,0,0,0
"丟了",2.24769834432084e-05,0,5.10250183524519e-05,5.18505214915165e-05
"丟在",5.41565123206066e-05,6.43956468542727e-05,0,0
"丟掉",0.000108313024641213,0,0,0
"丟盡",0.000108313024641213,0,0,0
"並不比",0.000108313024641213,0,0,0
"並不知道",5.41565123206066e-05,0,0,6.24648635142732e-05
"並且",0.000108313024641213,0,0,0
"並排",2.24769834432084e-05,5.34532164696817e-05,5.10250183524519e-05,0
"並留",0.000108313024641213,0,0,0
"並肩",0.000108313024641213,0,6.14703712810425e-05,0
"丫環",0.000108313024641213,0,0,0
"中午",0.000108313024641213,0,0,0
"中國通",0.000108313024641213,0,0,0
"中學",0.000216626049282426,0,0,6.24648635142732e-05
"中尉",0.000108313024641213,0,0,0
"中年",5.41565123206066e-05,0,0,6.24648635142732e-05
"中心區",5.41565123206066e-05,6.43956468542727e-05,0,0
"中產",0.000108313024641213,0,0,0
"中略",0.000108313024641213,0,0,0
"中等",5.41565123206066e-05,0,6.14703712810425e-05,0
"中頂",0.000216626049282426,0,0,0
"串",0.000108313024641213,0,0,0
"主子",0.000108313024641213,0,0,0
"主張",2.24769834432084e-05,5.34532164696817e-05,0,2.59252607457582e-05
"主要",5.41565123206066e-05,0,0,6.24648635142732e-05
"主題歌",0.000108313024641213,0,0,0
"久",5.41565123206066e-05,0,6.14703712810425e-05,0
"久之",0.000108313024641213,0,0,0
"之一",0.000108313024641213,0,0,0
"之家",0.000108313024641213,0,0,0
"之心",0.000108313024641213,0,0,0
"之所以",0.000108313024641213,0,0,0
"之月",0.000216626049282426,0,0,0
"之流",0.000108313024641213,0,0,0
"之言",0.000108313024641213,0,0,0
"乖乖",0.000108313024641213,0,0,0
"九節",0.000108313024641213,0,0,0
"也化",0.000108313024641213,0,0,0
"也好",0.000157338884102459,0,7.65375275286778e-05,5.18505214915165e-05
"也略存",0.000108313024641213,0,0,0
"乳白",0.000108313024641213,0,0,0
"乾淨",2.24769834432084e-05,2.67266082348409e-05,2.5512509176226e-05,0
"亂哄哄",0.000108313024641213,0,0,0
"亂子",0.000108313024641213,0,0,0
"亂打",0.000108313024641213,0,0,0
"亂推",0.000108313024641213,0,0,0
"亂搡",0.000108313024641213,0,0,0
"亂糟糟",0.000108313024641213,0,0,0
"亂飛",0.000108313024641213,0,0,0
"了不得",0.000324939073923639,0,0.000122940742562085,0
"了條",0.000108313024641213,0,0,0
"了水",0.000108313024641213,0,0,0
"了當",5.41565123206066e-05,0,6.14703712810425e-05,0
"了給",0.000108313024641213,0,0,0
"了車",2.24769834432084e-05,5.34532164696817e-05,0,2.59252607457582e-05
"了門",5.41565123206066e-05,0,0,6.24648635142732e-05
"了麼",0.000108313024641213,0,0,6.24648635142732e-05
"事呢",0.000108313024641213,0,0,0
"事太",0.000108313024641213,0,0,0
"事是",0.000108313024641213,0,0,0
"事業",0.000216626049282426,0,0,0
"事罷",0.000108313024641213,0,0,0
"事過境遷",0.000108313024641213,0,0,0
"事隔多年",0.000108313024641213,0,0,0
"二",8.99079337728337e-05,8.01798247045226e-05,0.000280637600938485,0
"二人",0.000216626049282426,0,0,6.24648635142732e-05
"二十年",0.000216626049282426,0,6.14703712810425e-05,0
"二尺",0.000108313024641213,0,0,0
"二男二女",0.000108313024641213,0,0,0
"于是",4.49539668864169e-05,2.67266082348409e-05,0,5.18505214915165e-05
"于盧",0.000216626049282426,0,0,0
"云",2.24769834432084e-05,2.67266082348409e-05,0.000306150110114711,0
"云裝",0.000108313024641213,0,0,0
"五六個",0.000108313024641213,0,0,0
"五六十塊",0.000108313024641213,0,0,0
"五分",0.000108313024641213,0,6.14703712810425e-05,0
"五尺",0.000108313024641213,0,0,0
"五年",0.000108313024641213,0,6.14703712810425e-05,0
"交代",5.41565123206066e-05,6.43956468542727e-05,0,0
"交情",6.74309503296253e-05,5.34532164696817e-05,0,2.59252607457582e-05
"交接",0.000108313024641213,0,0,0
"交換",5.41565123206066e-05,0,6.14703712810425e-05,0
"交易",5.41565123206066e-05,0,6.14703712810425e-05,0
"交朋友",0.000108313024641213,0,0,0
"交椅",0.000108313024641213,0,0,0
"交游",5.41565123206066e-05,0,6.14703712810425e-05,0
"交還",0.000108313024641213,0,0,0
"交錯",0.000108313024641213,0,0,0
"交際花",4.49539668864169e-05,2.67266082348409e-05,0,2.59252607457582e-05
"交頭接耳",0.000108313024641213,0,0,0
"享慣",0.000108313024641213,0,0,0
"亮",4.49539668864169e-05,2.67266082348409e-05,0,0.000103701042983033
"人一",0.000216626049282426,0,0,0
"人一窘",0.000108313024641213,0,0,0
"人一軟",0.000108313024641213,0,0,0
"人了",0.000108313024641213,0,0,0
"人人",5.41565123206066e-05,0.000128791293708545,0,0
"人人愛",0.000108313024641213,0,0,0
"人來",5.41565123206066e-05,0.000128791293708545,0,0
"人來了",0.000216626049282426,0,0,0
"人們",6.74309503296253e-05,5.34532164696817e-05,2.5512509176226e-05,0
"人兒",0.00016246953696182,0,6.14703712810425e-05,0
"人到",0.000108313024641213,0,0,0
"人去",0.000108313024641213,0,0,0
"人叢",5.41565123206066e-05,0,6.14703712810425e-05,0
"人多",4.49539668864169e-05,0,2.5512509176226e-05,2.59252607457582e-05
"人太多",5.41565123206066e-05,0,6.14703712810425e-05,0
"人山人海",0.000108313024641213,0,0,0
"人怪",0.000108313024641213,0,0,0
"人情",2.24769834432084e-05,2.67266082348409e-05,0,2.59252607457582e-05
"人才",2.24769834432084e-05,2.67266082348409e-05,2.5512509176226e-05,0
"人材",0.000216626049282426,0,0,0
"人生",5.41565123206066e-05,0,6.14703712810425e-05,0
"人租",0.000108313024641213,0,0,0
"人笑",0.000108313024641213,0,0,0
"人給",0.000108313024641213,0,0,0
"人進",0.000108313024641213,0,0,0
"人還",0.000108313024641213,0,0,0
"人長",5.41565123206066e-05,6.43956468542727e-05,0,0
"人開",0.000108313024641213,0,0,0
"人靠",0.000108313024641213,0,0,0
"今兒",8.99079337728337e-05,8.01798247045226e-05,0.000178587564233582,0
"今晚",0.000108313024641213,0,0,0
"今生今世",0.000108313024641213,0,0,0
"他了",0.000108313024641213,0,0,0
"他來",0.000216626049282426,0,0,0
"他准",0.000108313024641213,0,0,0
"他娘",0.000216626049282426,0,0,0
"他敢",5.41565123206066e-05,6.43956468542727e-05,0,0
"他會",2.24769834432084e-05,2.67266082348409e-05,2.5512509176226e-05,0
"他活",0.000108313024641213,0,0,0
"他的車",0.000108313024641213,0,0,0
"他給",2.24769834432084e-05,2.67266082348409e-05,0,2.59252607457582e-05
"他道",4.49539668864169e-05,0,5.10250183524519e-05,5.18505214915165e-05
"仗",5.41565123206066e-05,0,6.14703712810425e-05,0
"仙人掌",0.000108313024641213,0,0,0
"令兄",0.000108313024641213,0,0,0
"以上",0.000108313024641213,0,0,0
"以下",5.41565123206066e-05,0,6.14703712810425e-05,0
"以外",0.000216626049282426,0,0,0
"以禮相待",0.000108313024641213,0,0,0
"件",2.24769834432084e-05,2.67266082348409e-05,0,2.59252607457582e-05
"任",0.000108313024641213,0,0,0
"任何人",0.000108313024641213,0,0,0
"份兒",0.000324939073923639,0,0,0
"仿古",0.000108313024641213,0,0,6.24648635142732e-05
"伏",4.49539668864169e-05,2.67266082348409e-05,0,5.18505214915165e-05
"伏線",0.000108313024641213,0,0,0
"休息",0.000216626049282426,0,0,0
"伴兒",0.000216626049282426,0,0,0
"伴奏",0.000324939073923639,0,0,0
"伸",4.49539668864169e-05,0,2.5512509176226e-05,2.59252607457582e-05
"伸出",5.41565123206066e-05,0.000128791293708545,0,0
"伸出手",5.41565123206066e-05,6.43956468542727e-05,0,0
"伸出頭",0.000108313024641213,0,0,0
"似水流年",0.000108313024641213,0,0,0
"似睡",0.000108313024641213,0,0,0
"似笑非笑",5.41565123206066e-05,6.43956468542727e-05,0,0
"低下去",0.000108313024641213,0,0,0
"低下頭來",0.000108313024641213,0,0,0
"低低的",0.00016246953696182,0,6.14703712810425e-05,0
"低聲下氣",5.41565123206066e-05,6.43956468542727e-05,0,0
"低著頭",4.49539668864169e-05,0,2.5512509176226e-05,2.59252607457582e-05
"低頭不語",0.000108313024641213,6.43956468542727e-05,0,0
"住久",5.41565123206066e-05,0,0,6.24648635142732e-05
"住宅",0.000108313024641213,0,0,0
"住宅區",0.000108313024641213,0,0,0
"住讀",6.74309503296253e-05,0,2.5512509176226e-05,2.59252607457582e-05
"何嘗",2.24769834432084e-05,0.000106906432939363,7.65375275286778e-05,0
"何必",5.41565123206066e-05,0,6.14703712810425e-05,0
"何樂",0.000108313024641213,0,0,0
"何況",5.41565123206066e-05,0,0.000184411113843128,0
"何苦",2.24769834432084e-05,0,2.5512509176226e-05,2.59252607457582e-05
"余地",5.41565123206066e-05,0.000193186940562818,0,0
"佛珠",0.000108313024641213,0,0,0
"作孽",0.000108313024641213,0,0,0
"作弄",0.000108313024641213,0,0,0
"作踐",0.000108313024641213,0,0.000122940742562085,0
"你來",0.000108313024641213,0,0,0
"你呀",0.000108313024641213,0,0,0
"你媽",0.000108313024641213,0,0,0
"你家",0.000108313024641213,0,0,0
"你當",5.41565123206066e-05,6.43956468542727e-05,0,0
"你給",6.74309503296253e-05,2.67266082348409e-05,0,5.18505214915165e-05
"你老",0.000108313024641213,0,0,0
"你還",0.000108313024641213,0,0,0
"你領",0.000108313024641213,0,0,0
"你麼",0.000324939073923639,0,0,0
"佩",0.000108313024641213,0,0,0
"佳麗",0.000108313024641213,0,0,0
"佼佼者",0.000108313024641213,0,0,0
"使人",0.00016246953696182,0,0,0.000124929727028546
"使勁",2.24769834432084e-05,2.67266082348409e-05,2.5512509176226e-05,0
"使性子",5.41565123206066e-05,0,6.14703712810425e-05,0
"侄",0.000108313024641213,0,0,0
"侄女兒",0.000216626049282426,0,0,0
"來了",6.74309503296253e-05,2.67266082348409e-05,2.5512509176226e-05,0
"來得",4.49539668864169e-05,2.67266082348409e-05,2.5512509176226e-05,0
"來的",5.41565123206066e-05,6.43956468542727e-05,0,0
"來看",0.000108313024641213,0,0.000122940742562085,0
"來給",5.41565123206066e-05,0,0,6.24648635142732e-05
"來賓",0.000108313024641213,0,0,0
"來頭",0.000108313024641213,0,0,0
"來麼",0.000216626049282426,0,0,0
"供給",5.41565123206066e-05,6.43956468542727e-05,0,0
"依",8.99079337728337e-05,2.67266082348409e-05,0.000102050036704904,0
"依然",0.000216626049282426,0,0,6.24648635142732e-05
"依稀",0.000216626049282426,0,0,0
"依言",5.41565123206066e-05,0,6.14703712810425e-05,0
"侵到",0.000108313024641213,0,0,0
"便宜",4.49539668864169e-05,2.67266082348409e-05,0.000102050036704904,0
"便道",0.000157338884102459,2.67266082348409e-05,0.000102050036704904,0
"便點",0.000108313024641213,0,0,0
"俄國",5.41565123206066e-05,0,0,6.24648635142732e-05
"俄羅斯",0.000108313024641213,0,0,0
"俏",0.000108313024641213,0,0,0
"俏皮",0.00016246953696182,0,0,0.000124929727028546
"俗",5.41565123206066e-05,0,0,6.24648635142732e-05
"俗得妙",0.000108313024641213,0,0,0
"俗氣",5.41565123206066e-05,0,0,0.000124929727028546
"俗語",0.000108313024641213,0,0,0
"保守派",0.000108313024641213,0,0,0
"保得住",5.41565123206066e-05,6.43956468542727e-05,0,0
"保養",0.000108313024641213,0,0,0
"信兒",0.000108313024641213,0,0,0
"信子",0.000108313024641213,0,0,0
"信教",0.000108313024641213,0,0,0
"修剪",0.000216626049282426,0,0,0
"修道",0.000108313024641213,0,0,0
"修道院",0.000108313024641213,0,0,0
"個人",6.74309503296253e-05,8.01798247045226e-05,0.000153075055057356,0
"個景兒",0.000108313024641213,0,0,0
"個羅曼",0.000216626049282426,0,0,0
"個頭",5.41565123206066e-05,0,0,6.24648635142732e-05
"倒下",0.000108313024641213,0,0,0
"倒像",0.00016246953696182,0,6.14703712810425e-05,0
"倒夠",0.000216626049282426,0,0,0
"倒影",0.000108313024641213,0,0,0
"倒早",0.000108313024641213,0,0,0
"倒貼",0.000108313024641213,0,0,0
"倚著",2.24769834432084e-05,0,2.5512509176226e-05,2.59252607457582e-05
"借",0.000270782561603033,0,6.14703712810425e-05,0
"借錢",5.41565123206066e-05,0,6.14703712810425e-05,0
"倫巴",0.000216626049282426,0,0,0
"值不值得",0.000108313024641213,0,0,0
"假來",0.000108313024641213,0,0,0
"偏偏",0.00016246953696182,0,0,6.24648635142732e-05
"偏僻",0.000108313024641213,0,0,0
"偏著頭",5.41565123206066e-05,0.000128791293708545,0,0
"偏重于",0.000108313024641213,0,0,0
"做事",2.24769834432084e-05,2.67266082348409e-05,0,7.77757822372747e-05
"做人",2.24769834432084e-05,0,2.5512509176226e-05,2.59252607457582e-05
"做個",5.41565123206066e-05,0,0,6.24648635142732e-05
"做到",5.41565123206066e-05,0,0,6.24648635142732e-05
"做好做歹",2.24769834432084e-05,2.67266082348409e-05,2.5512509176226e-05,0
"做熟",0.000108313024641213,0,0,0
"做的",0.000108313024641213,0,0,0
"做菜",5.41565123206066e-05,6.43956468542727e-05,0,0
"停下",2.24769834432084e-05,2.67266082348409e-05,0,5.18505214915165e-05
"停下來",0.000216626049282426,0,0,0
"停住",2.24769834432084e-05,0,2.5512509176226e-05,5.18505214915165e-05
"停勻",0.000216626049282426,0,0,0
"健康",0.000108313024641213,0,0,0
"側影",0.000108313024641213,0,0,0
"側耳細聽",0.000108313024641213,0,0,0
"側著頭",0.000108313024641213,0,0,6.24648635142732e-05
"側身",0.000108313024641213,0,0,0
"偶一",0.000216626049282426,0,0,0
